206,302
196,304
189,301
191,304
194,308
201,309
203,315
199,325
191,336
189,339
184,339
184,341
184,341
179,339
179,336
182,323
189,311
194,304
196,302
189,304
191,304
194,306
196,308
201,311
199,318
191,330
184,336
184,339
187,344
194,346
194,346
191,350
182,350
172,348
170,346
165,346
167,344
167,344
175,343
187,341
194,341
199,339
201,339
201,337
201,337
201,337
201,337
199,337
201,337
201,337
201,337
199,337
201,336
196,332
191,330
182,327
175,323
172,316
182,309
194,304
196,302
199,302
194,309
191,315
189,320
182,325
175,329
170,330
165,332
163,337
160,343
160,343
160,343
155,341
155,344
158,350
158,351
160,353
158,355
160,355
165,355
165,355
165,357
172,358
172,358
175,357
172,358
170,357
172,357
172,357
177,357
179,357
179,355
179,355
182,355
182,355
182,355
184,353
182,353
179,351
179,348
172,346
167,343
170,336
170,327
175,318
182,311
189,308
196,302
